Subject,EmailBody,label
WINSEM2021-22 Wishlist - Course Delete OTP,Dear Student 19BDS0015 OTP to delete the course BCD3004 is ZmMBR for Winter Semester 2021-22 WishlistThis is an auto generated mail Kindly dont reply or send message to this mail id Thanks,INBOX
WINSEM2021-22 Wishlist - Course Delete OTP,Dear Student 19BDS0015 OTP to delete the course BCD3004 is nJjgp for Winter Semester 2021-22 WishlistThis is an auto generated mail Kindly dont reply or send message to this mail id Thanks,INBOX
Invite You have been invited to the Data Science Orientation Meetup in New Delhi ,"Data Science Orientation Meetup Hey VENKAT Life is all about living great moments and making our time here worth it Coding Blocks is here to make life bigger better with a very special Data Science Orientation Meetup where you will get a chance to meet the players of top firms like Facebook, Amazon, Google, and many more. 

What’s in for you?

 Connect & Network with Winners.  Guidance to step into the world of Data Science.
  AMA Session with experts to Clear all Doubts.
  Food and Drinks on us.
 SWAGs for Everyone!

So, be ready to make it count. Join us this November 14 for a session of fun & knowledge.",INBOX
LIVE Hiring Challenges Hackathons  Coding Contests,Matching great developers with world-class companies Hiring Challenges LIVE Years of Experience Required Link to Register HealthifyMe Senior Backend Developer Hiring Challenge 4.,INBOX
Grab your rewards on Cloud DevJam,Get ready for Cloud DevJam challenge series Join now Hello VENKAT SIDDARTH REDDY V 19BDS0015 Cloud DevJam is here with the Challenge Series for you to upskill on Google Cloud and win exciting rewards in your learning journey Top 3 winners will get cash prizes worth INR 30000 Winner INR 15000 1st Runner up INR 10000 2nd Runner up INR 5000 Participants can also win exclusive rewards like Google Nest Hub Google Nest Mini Flipkart vouchers and Cloud DevJam Goodie Boxes upon successful completion of Google Cloud Skill Badges Unlock Cloud DevJam Challenge Series now See you in the cloud Team Cloud DevJam ,SPAM
Re Query related to MMDS cat2,The paper has been reevaluated Thanks and Regards Dr Ilanthenral Kandasamy Department of Database Systems School of Computer Science and Engineering Vellore Institute of Technology Vellore Tamil,INBOX
VENKAT SIDDARTH REDDY V 19BDS0015 Your Opinion Matters to UsÂ ,Dear VENKAT SIDDARTH REDDY V 19BDS0015 As part of our constant endeavour to enrich your learning experience with FutureSkills Prime we are reaching out to a select few of our valued learners you being one of them so as to gather useful information and feedback that would surely help us improve the overall quality of this initiative We hope you would spare a 2-3 Minutes of your valuable time We promise it wont take longer to fill out this survey as that would go a long way in making your learning experience even more fruitful Thank You for your time Click Here The FutureSkills Prime Platform is a joint initiative by the Ministry of Electronics and Information Technology MeitY Government of India and NASSCOM that is available to Indian Citizens residing in India Therefore please avoid using a VPN or Company Network that uses proxies while using the FutureSkills Prime platform as you may not be able to access the platform from such networks In such an event please download the FutureSkills Prime App on your mobile device Available on the Apple App Store and Google Play Store Disclaimer All views expressed are by the user FutureSkills Prime assumes no responsibility or liability or any errors or omissions in the content of this email Got Questions Please visit FutureSkills Prime and ask Techy - our chatbot Keep Learning The Team at FutureSkills Prime Learn on the go Download the FutureSkills Prime Mobile app Connect with us for exciting updates and upcoming features If youd like to unsubscribe and stop receiving these emails click here,INBOX
Kind Attn MICROSOFT SHORTLISTED STUDENTS,Kind Attn MICROSOFT SHORTLISTED STUDENTS Mentioned below 4 students are shortlisted for the process Kindly get all 4 students to apply on the career portal by 14 th Nov 0900 am Refer attached file,INBOX
New CS50 Course Intro to Programming with Python,"Think like a programmer with the latest course from the CS50 team Millions of people around the world have learned to code and advanced their careers through CS50. This April, join a global community of programmers for our newest CS50 course, CS50's Introduction to Programming with Python. 
This 9-week, self-paced course is designed for students with and without prior programming experience who'd like to learn Python specifically. Created by award-winning faculty, this course will teach you how to read and write code as well as how to test and ""debug"" it. 
Improve your resume and think like a programmer as you learn key concepts such as:
•	Functions, arguments, and return values
•	Variables and types
•	Conditions and Boolean expressions
•	Loops, objects, and methods
•	Exceptions, file I/O, and libraries
With exercises inspired by real-world programming problems, you’ll get hands-on opportunities at a pace that works for your schedule.",INBOX
Quanta Day 1 Invitation Mail with Teams Link-reg,"Dear VITians The Office of Students Welfare presents Quanta The annual clubs and chapters expo for freshers on the 13th and 14th of November 2021 Come and witness the various clubs and and chapters of VIT, giving you a taste of what it would be like to be one among them. 

Presenting to you the schedule and teams links for Day 1 of Quanta",INBOX
With love from me to you VENKAT ,"I was just listening to this song With Love From Me to You is an amazing song by The Beatles and thought of sending out some love to my favourite people So here goes - If you purchase the System Design course using coupon code SYSTEMDESIGN20 until EOD of 14th November, you will get an additional 20% off on the course.
And if you don't know the importance of System Design in interviews, just reply to this email asking to talk to a counsellor and I will arrange a callback for you. 
And if you understand its importance, go ahead and sign up for the OS course before midnight of 14th and avail this offer. The course is listed here. .",INBOX
Pre-Finalists declared  Myntra HackerRamp Campus Edition 2021,"D2C Logo Myntra HackerRamp Campus Edition 2021 Myntra Hi V Venkat Siddarth Reddy, 
We are overwhelmed by the exhilarating response by all the future leaders for Round 2 of the Myntra HackerRamp: Campus Edition 2021!

The Phase 2 has been concluded and the results have been declared. The competition was really neck to neck and it was so nice to see the enthusiasm and zeal of all the participants.

You can check out the results on the competition page and let your peers know.

All the best for your future endeavors",INBOX
CAREER COUNSELLING -VIT-CDC- CAREER CLAIRVOYANCE 2021 - TOMORROW -SATURDAY - NOVEMBER 13- 600-730pm - reg,Dear Students The Office of Career Development Centre VIT is coming out with CAREER CLAIRVOYANCE 21 from November 10th onwards where the students will be given an opportunity to know more about different Higher education courses.,INBOX
CAREER COUNSELLING -VIT-CDC- CAREER CLAIRVOYANCE 2021 - WEBINAR- INTERNATIONAL SPEAKERS- SUNDAY - NOVEMBER 14- 630pm-reg,Dear Students The Office of Career Development Centre VIT is coming out with CAREER CLAIRVOYANCE 21 from November 10th onwards where the students will be given an opportunity to know more about different Higher education courses,INBOX
The November Long Challenge Ends In 3 Days - You Snooze You Lose,"CodeChef Nov Long Challenge Hola CodeCheffer We need you to clear your schedules and get ready because there are only 3 days left in the November Long Challenge Time has flown by but we're confident that you'll be able to leave your mark on the competition before time's up. Go on then, there's not a second to waste!",INBOX
WEBINAR Sustenance of Women in this VUCA world Ally ship Mentorship  Sponsorship,LIVE WEBINAR November 15 2021 0300 PM Hosted by Shilpa Hiran - Director Internal Audit Compliance NetApp Inc Sustenance of Women in this VUCA world Ally ship Mentorship Sponsorship SAVE MY SPOT Hi VENKAT SIDDARTH REDDY V 19BDS0015 We would like to invite you to a FREE Webinar session on the topic Sustenance of Women in this VUCA world Ally ship Mentorship Sponsorship About Webinar Gender bias is real and everywhere Research shows the problems that still block womens careers One big issue is an Unentitled Mindset This is the wmore Yes Save My Spot Now During this FREE Webinar our experts will discuss Ways to tackle gender bias - ideas to make inclusion a lived valueHow to form allies in personal professional worldLearn why mentorship is importantWhat is a sponsor How are sponsorships created Making the most of sponsorships Speaker Details Shilpa Hiran Director Internal Audit Compliance NetApp Inc Book Your Seat ,INBOX
Can You Solve Java Currency Formatter,Hi V VENKAT SIDDARTH Improve your skills with this challenge recommended for you Java Currency Formatter Java 184041 submissions Format Currency in Java Solve Challenge Happy coding The HackerRank,INBOX
We wrote a poem for you  Siddarth,Dont want convenience delivered to your inbox Unsubscribe here,SPAM
Your Coursera name was changed,"Coursera Hi V VENKAT SIDDARTH REDDY We wanted to let you know that the name on your Coursera account was changed to V VENKAT SIDDARTH REDDY at 1125 AM IST on Friday November 12 2021 If you didn’t make this change, please contact us through our  Learner Help Center.
Happy Learning!",INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Google Data Analytics Capstone Complete a Case Study Your first reading only takes 10 minutes Introducing the capstone project.,INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Data Analysis with R Programming Your first lecture only takes 6 minutes Introduction to the exciting world of programming,INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Share Data Through the Art of Visualization Your first lecture only takes 3 minutes Introduction to communicating your data insights,INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Analyze Data to Answer Questions Your first lecture only takes 3 minutes Introduction to getting organized ,INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Process Data from Dirty to Clean Your first lecture only takes 3 minutes Introduction to focus on integrity Lecture ,INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Foundations Data Data Everywhere Your first lecture only takes 9 minutes Welcome to the Google Data Analytics,INBOX
Welcome to the Google Data Analytics,Welcome to the Professional Certificate Ready to learn something new My CoursesCourse Catalog Welcome to the Professional Certificate Youve just joined Google Data Analytics Congratulations,INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Prepare Data for Exploration Your first lecture only takes 3 minutes Introduction to data exploration Lecture ,INBOX
Dont lose momentum,It only takes a few minutes Hi VENKAT SIDDARTH REDDY V 19BDS0015 Welcome to Ask Questions to Make Data-Driven Decisions Your first lecture only takes 3 minutes Introduction to problem-solving and effective questioning,INBOX
12th November - Todays Online events by Clubs and Chapters-reg,"Dear VITians Office of Students Welfare invites you for todays 12 th November online events World Pneumonia Day World Pneumonia Day was established and first observed in 2009 by the Stop Pneumonia Initiative. The annual observance seeks to raise global awareness about the disease and advocate for global action. In 2013, WHO launched a campaign to end deaths by pneumonia and diarrhea, another leading killer disease for children, by 2025 called The integrated Global Action Plan for Pneumonia and Diarrhoea (GAPPD). ",INBOX
Re WELLSFARGO Next round of Selection process is Scheduled on 12th Nov 2021,WELLSFARGO Next round of Selection process is Scheduled on 12th Nov 2021 Please find the attached shortlisted students list with respective timing Interview links will be shared directly from the company,INBOX
Fw Alumni Interactive Session Exclusively for UPSC Aspirants - Event Date  Time  17th Nov 2021 from 1130 AM to 1230 PM IST,Dear Students All are invited to the Alumni Interactive Session Exclusively for UPSC Aspirants scheduled on November 17th 2021 from 1130 AM to 1230 PM IST Follow the trail mail for more,INBOX
Explore a Google Certificate,Pursue your career goals with a Professional Certificate from Google Coursera Launch your career with job ready skills Earn a Google credential Whether youre launching a new career re-entering,INBOX
ION NEXT ROUND OF SELECTION PROCESS IS SCHEDULED ON 12 th NOV 2021,ION NEXT ROUND OF SELECTION PROCESS IS SCHEDULED ON 12 th NOV 2021 Please find the below shortlisted students with links Students are said to Join 10 mins earlier to their time slots ,INBOX
WELLSFARGO Next round of Selection process is Scheduled on 12th Nov 2021,WELLSFARGO Next round of Selection process is Scheduled on 12th Nov 2021 Pleas find the below shortlisted students list Interview links will be shared directly from the company,INBOX
DevJams21 - Registrations close in 9 days,"Greetings from GDSC VIT We are organizing the 6th edition of our flagship hackathon DevJams from 20th to 22nd November 2021 which aims to encourage healthy competition in order to incubate futuristic ideas! 

DevJams’21 will be an opportunity for students and upcoming entrepreneurs to showcase their potential and skills by providing them with a platform to develop, compete and network to solve real-world problems. With DevJams’21 we hope to bring innovative minds from all around the globe who attempt to create something phenomenal over 48 hours of brainstorming, ideation, and execution. ",INBOX
Assembly Accumulate Blockchain Hackathon Prizes worth USD 8000,"Started Nov 08 2021 0130 PM IST PRIZES WORTH USD 8000 REGISTRATIONS ALREADY BEGUN REGISTER NOW ABOUT HACKATHON What is Accumulate Accumulate is a high-performance blockchain for DeFi, integrating blockchains, protocols, oracles, and applications, serving as a bridge for the new digital economy. Accumulate shifts the paradigm for how blockchains manage data, tokens, and users with an identity-based, Proof-of-Stake blockchain offering secure, scalable, and extensible features to power DeFi applications.Hackathon: Accumulate is a brand-new protocol and we welcome all projects that utilize Accumulate in some way. We are particularly interested in three types of projects.",INBOX
TIBCO LABS IoT and Sustainability Hack USD 19500 IN PRIZES ,"OSSDayHack USD 19500 IN PRIZES REGISTRATIONS ALREADY BEGUN REGISTER NOW ABOUT HACKATHON Hackers IoT and sustainability are broad subjects offering IoT and sustainability are broad subjects, offering plenty of opportunities for technology innovation and creativity. So, for this hackathon, we have kept the boundaries small to make sure the ideas are big! The only requirement is to propose projects that address one or more environmental challenges we face across the globe today.",INBOX
International Cyber Security conference-reg,"Dear Student's,

AVAR (Association of Anti-Virus Asia Researchers) is hosting an annual International Cyber Security conference virtually between December 2-3, 2021. The conference has created quite a bit of interest among global cyber security enthusiasts with leading industry professionals presenting their thoughts and insights.
We invite your students to attend AVAR 2021 Virtual conference program.",INBOX
Register for Indias Largest Coding Bootcamp - Career Camp Now,"Hurry apply now Career Camp The Online Coding Bootcamp with Placement Assurance Join the Ninjas Community  Coding Ninjas India This  email was sent to venkatsiddarth.v2019@vitstudent.ac.in
You received this email because you are registered with Coding Ninjas",INBOX
Grab your rewards on Cloud DevJam,Get ready for Cloud DevJam challenge series Join now Hello VENKAT SIDDARTH REDDY V 19BDS0015 Cloud DevJam is here with the Challenge Series for you to upskill on Google Cloud and win exciting rewards in your learning journey Top 3 winners will get cash prizes worth INR 30000 Winner INR 15000 1st Runner up INR 10000 2nd Runner up INR 5000 Participants can also win exclusive rewards like Google Nest Hub Google Nest Mini Flipkart vouchers and Cloud DevJam Goodie Boxes upon successful completion of Google Cloud Skill Badges Unlock Cloud DevJam Challenge Series now See you in the cloud Team Cloud DevJam,INBOX
Your career looks ,Because now you can learn by doing with Internshala online trainings at FLAT 75 OFF So what are you waiting for Open the email and choose from 70 in-demand skills Internshala Trainings.,INBOX
VIT-IR-SBST- Purdue University  USA joint webinar series - 17 November Wedesday 2021 at 1930 hrs,Dear Students VITs International Relations OfficeSBST and Purdue University USA cordially invite you for the joint webinar series Date 17 Nov 2021 Tuesday Time 7:30 PM IST Topic,INBOX
LIVE WEBINAR Hack your way to a higher performing team,LIVE WEBINAR November 25 2021 0500 PM Hosted by May Yang - Global Head of Operations Synechron Technologies Hack your way to a higher performing team SAVE MY SPOT Hi VENKAT SIDDARTH REDDY V 19BDS0015 We would like to invite you to a FREE Webinar session on the topic Hack your way to a higher performing team About Webinar We all want to be part of a high performing team You get to work on challenging projects get recognized for your efforts and of course reap the rewmore Yes Save My Spot Now During this FREE Webinar our experts will discuss What is a high performing teamBenefits of a high performing teamHow to build a high performing teamType of leadership styles required to manage a high performing teamHow to remain in a high performing team Speaker Details May Yang Global Head of Operations Synechron Technologies Book Your Seat Warm ,INBOX
Your program recommendations are here,"What will you learn next Courses Programs My Account Save 10 on select program purchases Discount applied at checkout Its your career Develop an in-demand skill for real-world results.Keep advancing your career, your skillset, and your confidence by becoming an expert in your field through one of our recommended programs. ",INBOX
VENKAT SIDDARTH REDDY V 19BDS0015 You Are a Step Away From Earning Incentives ,VENKAT SIDDARTH REDDY V 19BDS0015 we are proud of you for investing in your learning and getting certified by SSC NASSCOM To encourage you to continue advancing your career by upskilling reskilling on FutureSkills Prime the Government of India will now incentivise learning for eligible beneficiaries Digital Skilling is now made Affordable as you can upskill in 10 of the most in-demand Emerging Technologies and earn incentives up to INR 14500 Register Now Follow these steps to Register yourself to avail Incentives Watch the entire registration process video here To learn more about the GoI Incentive scheme click here Register Now The FutureSkills Prime Platform is a joint initiative by the Ministry of Electronics and Information Technology MeitY Government of India and NASSCOM that is available to Indian Citizens residing in India Therefore please avoid using a VPN or Company Network that uses proxies while using the FutureSkills Prime platform as you may not be able to access the platform from such networks In such an event please download the FutureSkills Prime App on your mobile device Available on the Apple App Store and Google Play Store Got Questions Please visit FutureSkills Prime and ask Techy - our chatbot Keep Learning The Team at FutureSkills Prime Learn on the go Download the FutureSkills Prime Mobile app Connect with us for exciting updates and upcoming features If youd like to unsubscribe and stop receiving these emails click here,INBOX
Information session on Technology Leadership and Entrepreneurship and its Global Prospects by HONG KONG University of Science and Technology reg,"DEAR STUDENTS Hong Kong University of Science and Technology is organizing an Information session on Technology Leadership and Entrepreneurship and its Global prospects The session will be conducted by Prof Ajay Joneja, Program Director of MSc in Technology Leadership and Entrepreneurship.
 
Interested Students can register using the link given below and attend the session.",INBOX
Join us for DevTalks and meet industry experts,"Greetings from GDSC VIT Join us for our exciting new event DevTalks An opportunity to interact and meet with some of the most talented and well-renowned individuals in the fast-paced tech industry , DevTalks promises to arouse your inner interests and talents as well as give you expert advice on various interesting and intriguing topics. Join us on November 13th, 2021! ",INBOX
Coders Diwali on November 15th  Prizes worth INR 10 Lakh  Assured Internship  Limited Invites Only,"Put your coding skills to test win INR 10 Lakh Internship Hello Great Minds A Coders Diwali is here Millennials named it CodeKaze Put your coding skills to test to win against budding coders from IITs, NITs & India's Premier Tech. Institutions.
 
What's there to Lose? 
Absolutely NOTHING!! (Registration is Free this time :P, Its Festive time we promise to  spare your pockets! )
 
What's there to Win? ALOT!!!
  - Prizes worth INR 10 Lakh
  - Assured Internship Opportunity with Us
  - Exclusive Placement Cell Access
  - Media Coverage through Newspaper & Social Media
   & of course upgrade in your Coding Skills by participating in the Coding War",INBOX
Grab your rewards on Cloud DevJam,Get ready for Cloud DevJam challenge series Join now Hello VENKAT SIDDARTH REDDY V 19BDS0015 Cloud DevJam is here with the Challenge Series for you to upskill on Google Cloud and win exciting rewards in your learning journey Top 3 winners will get cash prizes worth INR 30000 Winner INR 15000 1st Runner up INR 10000 2nd Runner up INR 5000 Participants can also win exclusive rewards like Google Nest Hub Google Nest Mini Flipkart vouchers and Cloud DevJam Goodie Boxes upon successful completion of Google Cloud Skill Badges Unlock Cloud DevJam Challenge Series now See you in the cloud Team Cloud DevJam ,SPAM
Multi Brand Smart TVs - SYSMANTECH,"Greetings from SYSMANTECH We Sysmantech celebrating Silver Jubilee Year a leading computer hardware dealer serving at Coimbatore Chennai Pondicherry Our belief in building a long-term relationship with our customers has made Sysmantech to grow from a mere 2 members to 4 outlets. We have well-equipped Customer Support Team to take care of the systems and accessories.  
 
We are the authorized dealers for Acer, HP, Lenovo, Dell, Asus, TVSE, Epson, Canon Printers and Tally Software since 1997.  We are proud to say that, we are Genuine Intel Dealer (GID) members for Intel products and recognized member for Microsoft OEM System Builders.  We supply a wide variety of quality computer products and solutions - all matching today's requirements with tomorrow's vision.  Beyond just supplying Computers, Accessories and Software, we also provides a complete line of Customised Servers, Desktops, Workstations, Network Solutions, Projectors, Security Solutions, Surveillance Solutions and Smart TV’s which has earned 5000+ customer bases.",SPAM
 Worlds first Tamil online learning community,"Worlds first Tamil online learning community for Action Takers was founded by Mr N Venkatesh Founder Innovative HR Training Services P Ltd and Mentored by Mr Murali Sundaram, Happyness Coach ®.  Currently we have more than 400 members from 10 different countries.Community’s next meeting was scheduled on Sunday, 14th November 2021 at 10:00 AM through Zoom Meeting.  Prof. M. Ramachandran, Pattimandram Speaker will be the Chief Guest.We would like to invite you for the above meeting as a Special Invitee.  If you are interested to join above meeting on Sunday, 14th November 2021 at 10:00 AM, kindly reply to seyalcommunity@gmail.com or  get in touch with . We will send you the joining link to your email.",SPAM
Esri India ArcGIS Platform Launch Event Reimagine Location in Your Apps,"ArcGIS Platform Launch Event Reimagine Location in Your Apps India is a technology hub and many countries rely on India for developers As per IDC Indias overall software market is presently growing at a CAGR of 11.6% from 2020 to 2025. This is leading to increase in demand for developers in the country. As of today, United States has largest number of software developers in the world, but as per Industry estimates India is all set to become the country with largest number of developers by 2023-24.

Also, Government of India recently eased out the guidelines and policy for geospatial data usage in India and rolled out number of programs and initiatives to leverage capability of GIS and Mapping. In addition, world is now looking at India for applications integrated with location services. This is leading to a huge opportunity for developers both in global and India market.",SPAM
Urgent100 students from your campus have already registered  Dont miss out,"CodeKaze - Exciting prizes internships and jobs Hi There This is Muskan Kathuria and I am herenot intentionally to tell you what you are missing out on -p So 100 students from your college from your college have already registered for CodeKaze - India's biggest Coding Event.
 
I know you want to show them you are the best coder from your campus, but that's not it. We have a lot more for you:
Cash Prizes worth more than 10 Lakhs to grab.
Exclusive cash rewards for winners from colleges with more than 149 registrations, help us reach there.
More than 50+ internship openings at Coding Ninjas to grab.
1-month free Coding Ninjas placement cell access to top 100 students. 
and much more.",SPAM
 Worlds first Tamil online learning community,"Worlds first Tamil online learning community for Action Takers was founded by Mr N Venkatesh Founder Innovative HR Training Services P Ltd and Mentored by Mr Murali Sundaram, Happyness Coach ®.  Currently we have more than 400 members from 10 different countries Community’s next meeting was scheduled on Sunday, 14th November 2021 at 10:00 AM through Zoom Meeting.  Prof. M. Ramachandran, Pattimandram Speaker will be the Chief Guest.",SPAM
  - INSPIRING TALK SERIES - Registration Link,"Greetings from Innovative HR Training services Private Limited Innovative HR and Training Services Private Limited is a professionally managed training and HR services provider with more than a decade of experience.   It may interest to note that, we have conducted 500+ Webinars with more than 4 Lakh Participants during the Lockdown period.  We are conducting  INSPIRING TALK SERIES a Tamil Motivational Interview with Successful and Inspiring personalities through webinar on every Saturday.  This week will be 61st Episode and Mr. John Fredrick, Founder and CEO, Ensileta Interiors will speak about his success stories on Saturday, 13th November 2021 at 4:30 PM to 5:30 PM.  ",SPAM
CORPORATE TRAINING  INNOVATIVE SERVICES,"Greetings from Innovative HR Training Services Private Limited Innovative Services understands that the business environment is increasingly competitive and constantly changing Business Business professionals are required to build their skills and knowledge quickly and effectively than ever before. Our intelligence training services are flexible and adaptable to any size organization and any delivery method. 
 
Innovative programs are highlighted with
 
Specializing trainers who understand what you do and how you need to do it
Independent training consultants on your doorstep
On the job training in the workplace if you prefer it
Free counselling from our network of trainers and advisers",SPAM
Re-CAT - I Freshers and ReCAT - II Seniors - Schedule for each Process,"Dear Student As per academic regulations students who have missed the regular CAT - I Freshers and CAT - II Seniors due to Placement related activity genuine health issues hospitalization or death in the family are permitted to appear for ReCAT - I (Freshers) and ReCAT - II (Seniors).  Additionally, due to the prevailing pandemic situation students who were not able to complete or appear for regular CAT because of power failure or internet issues are also eligible to appear for ReCAT.",SPAM
Multi Brand Smart TVs - SYSMANTECH,"Greetings from SYSMANTECH We Sysmantech celebrating Silver Jubilee Year a leading computer hardware dealer serving at Coimbatore Chennai Pondicherry Our belief in building a long-term relationship with our customers has made Sysmantech to grow from a mere 2 members to 4 outlets. We have well-equipped Customer Support Team to take care of the systems and accessories.  
 
We are the authorized dealers for Acer, HP, Lenovo, Dell, Asus, TVSE, Epson, Canon Printers and Tally Software since 1997.  We are proud to say that, we are Genuine Intel Dealer (GID) members for Intel products and recognized member for Microsoft OEM System Builders.  We supply a wide variety of quality computer products and solutions - all matching today's requirements with tomorrow's vision.  Beyond just supplying Computers, Accessories and Software, we also provides a complete line of Customised Servers, Desktops, Workstations, Network Solutions, Projectors, Security Solutions, Surveillance Solutions and Smart TV’s which has earned 5000+ customer bases.",SPAM
